aar;BoHF;BoHF_txt;Rate_hofteprotese;Ant_Innbyggere;Ant_Opphold
2013;1;Finnmark;2.8316735999;37835;106
2013;2;UNN;2.6966686146;94264;257
2013;3;Nordland;3.1082289056;70371;224
2013;4;Helgeland;3.365082801;41711;146
2013;6;Nord-Trøndelag;3.8572039052;70814;286
2013;7;St. Olavs;3.3248936526;143977;477
2013;8;Møre og Romsdal;3.3699068425;131086;454
2013;10;Førde;3.5242671469;55678;201
2013;11;Bergen;3.1618110224;199089;626
2013;12;Fonna;2.8739800025;85719;250
2013;13;Stavanger;3.7281959219;152589;522
2013;14;Østfold;2.9961182758;147803;454
2013;15;Akershus;2.9339401381;185707;515
2013;16;OUS;2.8043047799;263364;692
2013;19;Innlandet;3.692607531;216443;843
2013;20;Vestre Viken;3.4007477559;238009;803
2013;21;Vestfold;2.8342199338;116957;338
2013;22;Telemark;3.1406515259;91075;298
2013;23;Sørlandet;3.3230893537;140760;469
2014;1;Finnmark;2.7957189376;38190;106
2014;2;UNN;2.7235621051;95339;264
2014;3;Nordland;2.811284062;71019;206
2014;4;Helgeland;2.977162948;41950;132
2014;6;Nord-Trøndelag;3.6685908047;71380;275
2014;7;St. Olavs;3.3055876906;146208;485
2014;8;Møre og Romsdal;3.3843142741;132550;463
2014;10;Førde;2.8836141283;56075;170
2014;11;Bergen;2.4855812541;202392;501
2014;12;Fonna;3.1965136111;86914;284
2014;13;Stavanger;3.3284788093;155824;478
2014;14;Østfold;3.6651532765;150040;566
2014;15;Akershus;3.2619673911;190031;595
2014;16;OUS;3.0834032774;269255;786
2014;19;Innlandet;3.3391462338;218174;774
2014;20;Vestre Viken;3.4752987534;242152;841
2014;21;Vestfold;2.6627795204;118588;325
2014;22;Telemark;2.9205924867;91872;281
2014;23;Sørlandet;3.0174475669;143160;437
2015;1;Finnmark;2.2690755076;38528;88
2015;2;UNN;2.3623955165;96043;233
2015;3;Nordland;2.9780448473;71494;222
2015;4;Helgeland;3.8731393592;42096;171
2015;6;Nord-Trøndelag;3.6316534767;71915;280
2015;7;St. Olavs;3.241143317;148001;487
2015;8;Møre og Romsdal;3.0339142098;133704;423
2015;10;Førde;3.4101548357;56397;203
2015;11;Bergen;2.9027626247;205481;599
2015;12;Fonna;3.1271266029;88040;284
2015;13;Stavanger;3.6098191863;158573;532
2015;14;Østfold;2.7244093745;152195;434
2015;15;Akershus;3.0586413016;193945;566
2015;16;OUS;2.8226213054;274214;731
2015;19;Innlandet;3.5143843778;219640;822
2015;20;Vestre Viken;3.4855803435;245728;860
2015;21;Vestfold;3.2355390617;120242;402
2015;22;Telemark;3.5419488985;92634;348
2015;23;Sørlandet;3.8951972812;145328;574
2013;9999;Norge;3.2058781009;2483251;7961
2014;9999;Norge;3.1442715776;2521113;7969
2015;9999;Norge;3.1927356585;2554198;8259
