aar;BoHF;BoHF_txt;ald_gr;ErMann;under30min;over30min;Nevner
2015;1;Finnmark;1;0;0;2;2
2015;1;Finnmark;1;1;4;11;15
2015;1;Finnmark;2;0;0;1;1
2015;1;Finnmark;2;1;1;10;11
2015;1;Finnmark;3;0;0;1;1
2015;1;Finnmark;3;1;1;4;5
2015;2;UNN;1;0;2;5;7
2015;2;UNN;1;1;4;17;21
2015;2;UNN;2;0;0;8;8
2015;2;UNN;2;1;4;25;29
2015;2;UNN;3;0;0;7;7
2015;2;UNN;3;1;3;16;19
2015;3;Nordland;1;0;1;1;2
2015;3;Nordland;1;1;7;10;17
2015;3;Nordland;2;0;2;1;3
2015;3;Nordland;2;1;7;17;24
2015;3;Nordland;3;0;4;2;6
2015;3;Nordland;3;1;3;8;11
2015;4;Helgeland;1;1;4;11;15
2015;4;Helgeland;2;0;1;1;2
2015;4;Helgeland;2;1;1;11;12
2015;4;Helgeland;3;0;1;5;6
2015;4;Helgeland;3;1;3;9;12
2015;6;Nord-Trøndelag;1;0;0;2;2
2015;6;Nord-Trøndelag;1;1;2;9;11
2015;6;Nord-Trøndelag;2;0;1;4;5
2015;6;Nord-Trøndelag;2;1;7;10;17
2015;6;Nord-Trøndelag;3;0;1;1;2
2015;6;Nord-Trøndelag;3;1;2;16;18
2015;7;St. Olavs;1;0;3;5;8
2015;7;St. Olavs;1;1;18;15;33
2015;7;St. Olavs;2;0;5;7;12
2015;7;St. Olavs;2;1;17;22;39
2015;7;St. Olavs;3;0;5;5;10
2015;7;St. Olavs;3;1;8;13;21
2015;8;Møre og Romsdal;1;0;0;5;5
2015;8;Møre og Romsdal;1;1;5;17;22
2015;8;Møre og Romsdal;2;0;2;9;11
2015;8;Møre og Romsdal;2;1;9;19;28
2015;8;Møre og Romsdal;3;0;1;5;6
2015;8;Møre og Romsdal;3;1;7;19;26
2015;10;Førde;1;0;0;3;3
2015;10;Førde;1;1;4;10;14
2015;10;Førde;2;0;1;1;2
2015;10;Førde;2;1;0;14;14
2015;10;Førde;3;0;1;4;5
2015;10;Førde;3;1;0;8;8
2015;11;Bergen;1;0;2;3;5
2015;11;Bergen;1;1;30;26;56
2015;11;Bergen;2;0;2;6;8
2015;11;Bergen;2;1;20;20;40
2015;11;Bergen;3;0;8;11;19
2015;11;Bergen;3;1;13;22;35
2015;12;Fonna;1;0;0;4;4
2015;12;Fonna;1;1;1;15;16
2015;12;Fonna;2;0;1;7;8
2015;12;Fonna;2;1;3;20;23
2015;12;Fonna;3;0;0;5;5
2015;12;Fonna;3;1;3;12;15
2015;13;Stavanger;1;0;0;6;6
2015;13;Stavanger;1;1;11;40;51
2015;13;Stavanger;2;0;1;8;9
2015;13;Stavanger;2;1;10;25;35
2015;13;Stavanger;3;0;3;9;12
2015;13;Stavanger;3;1;5;26;31
2015;14;Østfold;1;0;2;3;5
2015;14;Østfold;1;1;9;24;33
2015;14;Østfold;2;0;2;7;9
2015;14;Østfold;2;1;8;31;39
2015;14;Østfold;3;0;0;15;15
2015;14;Østfold;3;1;3;24;27
2015;15;Akershus;1;0;7;3;10
2015;15;Akershus;1;1;48;14;62
2015;15;Akershus;2;0;10;2;12
2015;15;Akershus;2;1;36;16;52
2015;15;Akershus;3;0;10;3;13
2015;15;Akershus;3;1;21;14;35
2015;16;Oslo;1;0;3;2;5
2015;16;Oslo;1;1;41;17;58
2015;16;Oslo;2;0;7;4;11
2015;16;Oslo;2;1;32;9;41
2015;16;Oslo;3;0;11;8;19
2015;16;Oslo;3;1;25;9;34
2015;19;Innlandet;1;0;6;8;14
2015;19;Innlandet;1;1;26;38;64
2015;19;Innlandet;2;0;3;15;18
2015;19;Innlandet;2;1;16;42;58
2015;19;Innlandet;3;0;7;25;32
2015;19;Innlandet;3;1;8;33;41
2015;20;Vestre Viken;1;0;2;2;4
2015;20;Vestre Viken;1;1;24;20;44
2015;20;Vestre Viken;2;0;7;1;8
2015;20;Vestre Viken;2;1;30;20;50
2015;20;Vestre Viken;3;0;8;10;18
2015;20;Vestre Viken;3;1;19;13;32
2015;21;Vestfold;1;0;2;5;7
2015;21;Vestfold;1;1;10;27;37
2015;21;Vestfold;2;0;4;8;12
2015;21;Vestfold;2;1;9;24;33
2015;21;Vestfold;3;0;2;9;11
2015;21;Vestfold;3;1;2;28;30
2015;22;Telemark;1;0;0;4;4
2015;22;Telemark;1;1;4;12;16
2015;22;Telemark;2;0;0;3;3
2015;22;Telemark;2;1;1;16;17
2015;22;Telemark;3;0;0;2;2
2015;22;Telemark;3;1;5;15;20
2015;23;Sørlandet;1;0;1;2;3
2015;23;Sørlandet;1;1;13;9;22
2015;23;Sørlandet;2;0;5;2;7
2015;23;Sørlandet;2;1;17;16;33
2015;23;Sørlandet;3;0;5;3;8
2015;23;Sørlandet;3;1;8;17;25
2015;9999;Norge;1;0;31;65;96
2015;9999;Norge;1;1;265;342;607
2015;9999;Norge;2;0;54;95;149
2015;9999;Norge;2;1;228;367;595
2015;9999;Norge;3;0;67;130;197
2015;9999;Norge;3;1;139;306;445
